Date,Description,Amount,Category
2024-12-23,Uber ride,-15.85,transportation
2024-12-24,Amazon Purchase,-54.35,shopping
2024-12-25,Whole Foods Market,-56.75,food
2024-12-26,Netflix,-14.89,subscriptions
2024-12-27,Landlord Rent,-1041.98,rent
2024-12-28,McDonalds,-24.59,food
2024-12-29,Paycheck,2034.20,income
2024-12-30,Phone Bill,-45.66,utilities
2024-12-31,Coffee Shop,-10.24,food
2025-01-01,Gym Membership,-22.74,subscriptions
2025-01-02,Spotify,-15.90,subscriptions
2025-01-03,Gas Station,-42.48,transportation
2025-01-04,Uber ride,-20.77,transportation
2025-01-05,Amazon Purchase,-61.93,shopping
2025-01-06,Whole Foods Market,-63.12,food
2025-01-07,Netflix,-19.40,subscriptions
2025-01-08,Landlord Rent,-991.72,rent
2025-01-09,McDonalds,-28.11,food
2025-01-10,Paycheck,1888.33,income
2025-01-11,Phone Bill,-55.53,utilities
2025-01-12,Coffee Shop,-7.65,food
2025-01-13,Spotify,-10.75,subscriptions
2025-01-14,Gas Station,-34.97,transportation
2025-01-15,Uber ride,-18.96,transportation
2025-01-16,Amazon Purchase,-70.28,shopping
2025-01-17,Whole Foods Market,-57.22,food
2025-01-18,Netflix,-16.63,subscriptions
2025-01-19,Landlord Rent,-1019.33,rent
2025-01-20,McDonalds,-25.41,food
2025-01-21,Paycheck,1944.72,income
2025-01-22,Phone Bill,-42.89,utilities
2025-01-23,Coffee Shop,-8.73,food
2025-01-24,Spotify,-13.88,subscriptions
2025-01-25,Gas Station,-39.80,transportation
2025-01-26,Uber ride,-21.08,transportation
2025-01-27,Amazon Purchase,-48.23,shopping
2025-01-28,Whole Foods Market,-62.65,food
2025-01-29,Netflix,-18.15,subscriptions
2025-01-30,Landlord Rent,-987.16,rent
2025-01-31,McDonalds,-27.48,food
2025-02-01,Paycheck,1875.44,income
2025-02-02,Phone Bill,-54.30,utilities
2025-02-03,Coffee Shop,-9.23,food
2025-02-04,Spotify,-14.44,subscriptions
2025-02-05,Gas Station,-36.47,transportation
2025-02-06,Uber ride,-16.59,transportation
2025-02-07,Amazon Purchase,-55.13,shopping
2025-02-08,Whole Foods Market,-59.72,food
2025-02-09,Netflix,-13.99,subscriptions
2025-02-10,Landlord Rent,-1043.62,rent
2025-02-11,McDonalds,-26.04,food
2025-02-12,Paycheck,2016.91,income
2025-02-13,Phone Bill,-47.92,utilities
2025-02-14,Coffee Shop,-6.95,food
2025-02-15,Spotify,-12.58,subscriptions
2025-02-16,Gas Station,-33.73,transportation
2025-02-17,Uber ride,-19.01,transportation
2025-02-18,Amazon Purchase,-42.77,shopping
2025-02-19,Whole Foods Market,-54.09,food
2025-02-20,Netflix,-17.24,subscriptions
2025-02-21,Landlord Rent,-995.55,rent
2025-02-22,McDonalds,-23.58,food
2025-02-23,Paycheck,1964.79,income
2025-02-24,Phone Bill,-43.61,utilities
2025-02-25,Coffee Shop,-7.89,food
2025-02-26,Spotify,-11.87,subscriptions
2025-02-27,Gas Station,-38.94,transportation
2025-02-28,Uber ride,-22.33,transportation
2025-03-01,Amazon Purchase,-49.45,shopping
2025-03-02,Whole Foods Market,-56.82,food
2025-03-03,Netflix,-15.98,subscriptions
2025-03-04,Landlord Rent,-1002.73,rent
2025-03-05,McDonalds,-21.99,food
2025-03-06,Paycheck,1905.20,income
2025-03-07,Phone Bill,-50.78,utilities
2025-03-08,Coffee Shop,-10.19,food
2025-03-09,Spotify,-14.71,subscriptions
2025-03-10,Gas Station,-34.36,transportation
2025-03-11,Uber ride,-17.49,transportation
2025-03-12,Amazon Purchase,-66.39,shopping
2025-03-13,Whole Foods Market,-61.94,food
2025-03-14,Netflix,-13.26,subscriptions
2025-03-15,Landlord Rent,-1047.59,rent
2025-03-16,McDonalds,-27.66,food
2025-03-17,Paycheck,1987.35,income
2025-03-18,Phone Bill,-46.45,utilities
2025-03-19,Coffee Shop,-9.50,food
2025-03-20,Spotify,-12.30,subscriptions
2025-03-21,Gas Station,-37.72,transportation
2025-03-22,Uber ride,-20.05,transportation
2025-03-23,Amazon Purchase,-44.38,shopping
2025-03-24,Whole Foods Market,-58.77,food
2025-03-25,Netflix,-18.77,subscriptions
2025-03-26,Landlord Rent,-990.00,rent
2025-03-27,McDonalds,-24.22,food
2025-03-28,Paycheck,2030.90,income
2025-03-29,Phone Bill,-52.04,utilities
2025-03-30,Coffee Shop,-8.45,food
2025-03-31,Spotify,-11.93,subscriptions
